id,station_code,name,address,longitude,latitude,price,enabled,created_at,updated_at
22,SZ005,罗湖万象城充电站,深圳市罗湖区宝安南路1881号万象城,113.675000,22.538000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
23,SZ006,龙岗大运中心充电站,深圳市龙岗区龙翔大道大运中心体育馆,113.690000,22.550000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
24,SZ007,龙华深圳北站充电站,深圳市龙华区民治街道致远中路深圳北站,113.705000,22.562000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
25,SZ008,光明科学城充电站,深圳市光明区光明大道光明科学城,113.720000,22.574000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
26,SZ009,坪山比亚迪充电站,深圳市坪山区比亚迪路比亚迪总部,113.735000,22.526000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
27,SZ010,盐田海鲜街充电站,深圳市盐田区盐田海鲜街,113.750000,22.538000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
28,SZ011,大鹏较场尾充电站,深圳市大鹏新区较场尾海滩,113.765000,22.550000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
29,SZ012,前海自贸区充电站,深圳市南山区前海大道前海深港合作区,113.780000,22.562000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
30,BJ005,三里屯充电站,北京市朝阳区三里屯路19号,116.145000,39.924000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
31,BJ006,北京南站充电站,北京市丰台区北京南站路,116.160000,39.876000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
32,BJ007,奥林匹克公园充电站,北京市朝阳区北辰东路奥林匹克公园,116.175000,39.888000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
33,BJ008,五道口充电站,北京市海淀区成府路五道口,116.190000,39.900000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
34,BJ009,王府井充电站,北京市东城区王府井大街,116.205000,39.912000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
35,BJ010,西二旗充电站,北京市海淀区西二旗大街,116.220000,39.924000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
36,BJ011,通州万达充电站,北京市通州区新华西街万达广场,116.235000,39.876000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
37,BJ012,大兴机场充电站,北京市大兴区大兴国际机场,116.250000,39.888000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
38,SH005,外滩充电站,上海市黄浦区中山东一路外滩,121.335000,31.230000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
39,SH006,徐家汇充电站,上海市徐汇区漕溪北路徐家汇,121.350000,31.242000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
40,SH007,静安寺充电站,上海市静安区南京西路静安寺,121.365000,31.254000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
41,SH008,五角场充电站,上海市杨浦区淞沪路五角场,121.380000,31.206000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
42,SH009,上海迪士尼充电站,上海市浦东新区川沙迪士尼乐园,121.395000,31.218000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
43,SH010,上海火车站充电站,上海市静安区秣陵路上海火车站,121.410000,31.230000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
44,SH011,莘庄充电站,上海市闵行区莘庄地铁站,121.425000,31.242000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
45,SH012,长寿路充电站,上海市普陀区长寿路,121.440000,31.254000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
46,GZ004,广州塔充电站,广州市海珠区阅江西路广州塔,113.245000,23.106000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
47,GZ005,北京路步行街充电站,广州市越秀区北京路步行街,113.260000,23.118000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
48,GZ006,琶洲会展中心充电站,广州市海珠区阅江中路琶洲展馆,113.275000,23.130000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
49,GZ007,广州南站充电站,广州市番禺区广州南站,113.290000,23.142000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
50,GZ008,白云机场充电站,广州市白云区白云国际机场,113.305000,23.154000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
51,GZ009,黄埔科学城充电站,广州市黄埔区科学城,113.320000,23.106000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
52,GZ010,沙面岛充电站,广州市荔湾区沙面大街,113.335000,23.118000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
53,GZ011,大学城充电站,广州市番禺区大学城,113.350000,23.130000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
54,GZ012,花都广场充电站,广州市花都区花都广场,113.365000,23.142000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
55,HZ004,武林广场充电站,杭州市拱墅区武林广场,120.270000,30.294000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
56,HZ005,钱江新城充电站,杭州市上城区钱江新城,120.285000,30.246000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
57,HZ006,萧山机场充电站,杭州市萧山区萧山国际机场,120.300000,30.258000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
58,HZ007,良渚文化村充电站,杭州市余杭区良渚文化村,120.315000,30.270000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
59,HZ008,西溪湿地充电站,杭州市西湖区西溪湿地,120.330000,30.282000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
60,HZ009,临平银泰充电站,杭州市临平区迎宾路银泰城,120.345000,30.294000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
61,HZ010,富阳鹿山充电站,杭州市富阳区鹿山大道,120.360000,30.246000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
62,HZ011,桐庐富春江充电站,杭州市桐庐县富春江畔,120.375000,30.258000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
63,HZ012,九堡客运中心充电站,杭州市上城区九堡客运中心,120.390000,30.270000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
64,NJ004,夫子庙充电站,南京市秦淮区贡院街夫子庙,119.035000,32.072000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
65,NJ005,玄武湖充电站,南京市玄武区玄武湖公园,119.050000,32.084000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
66,NJ006,南京南站充电站,南京市雨花台区南京南站,119.065000,32.036000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
67,NJ007,中山陵充电站,南京市玄武区中山陵,119.080000,32.048000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
68,NJ008,鼓楼广场充电站,南京市鼓楼区鼓楼广场,119.095000,32.060000,1.30,1,2026-09-09 12:13:46,2026-09-09 12:13:46
69,NJ009,长江大桥充电站,南京市浦口区长江大桥,119.110000,32.072000,1.40,1,2026-09-09 12:13:46,2026-09-09 12:13:46
70,NJ010,栖霞山充电站,南京市栖霞区栖霞山,119.125000,32.084000,1.50,1,2026-09-09 12:13:46,2026-09-09 12:13:46
71,NJ011,溧水万达充电站,南京市溧水区万达广场,119.140000,32.036000,1.10,1,2026-09-09 12:13:46,2026-09-09 12:13:46
72,NJ012,高淳老街充电站,南京市高淳区高淳老街,119.155000,32.048000,1.20,1,2026-09-09 12:13:46,2026-09-09 12:13:46
