id,order_no,user_id,station_id,pile_id,status,unit_price,start_soc,battery_capacity_kwh,target_soc,reserve_time,start_time,end_time,duration_seconds,kwh,amount,pay_request_id,created_at,updated_at,dq_tag
16,SIM20260815000016,15,39,215,settled,1.40,37.88,70,96.99,2026-08-15 05:25:13,2026-08-15 05:48:13,2026-08-15 06:10:42,1349,41.38,57.93,PAYSIM20260815000016,2026-08-15 05:25:13,2026-08-15 06:10:42,OK
17,SIM20260815000017,5,42,231,settled,1.20,7.70,70,87.88,2026-08-15 20:35:38,2026-08-15 20:45:38,2026-08-15 21:05:58,1220,56.13,67.36,PAYSIM20260815000017,2026-08-15 20:35:38,2026-08-15 21:05:58,OK
18,SIM20260815000018,17,20,104,settled,1.10,33.41,80,91.83,2026-08-15 14:26:29,2026-08-15 14:32:29,2026-08-15 14:49:25,1016,46.74,51.41,PAYSIM20260815000018,2026-08-15 14:26:29,2026-08-15 14:49:25,OK
19,SIM20260815000019,20,70,381,settled,1.50,47.10,60,85.13,2026-08-15 14:13:37,2026-08-15 14:20:37,2026-08-15 14:28:53,496,22.82,34.23,PAYSIM20260815000019,2026-08-15 14:13:37,2026-08-15 14:28:53,OK
20,SIM20260815000020,9,43,237,settled,1.30,19.87,60,97.84,2026-08-15 20:32:26,2026-08-15 20:46:26,2026-08-15 21:03:22,1016,46.78,60.81,PAYSIM20260815000020,2026-08-15 20:32:26,2026-08-15 21:03:22,OK
21,SIM20260815000021,9,5,25,settled,1.40,29.38,70,88.57,2026-08-15 11:32:45,2026-08-15 11:52:45,2026-08-15 12:15:15,1350,41.43,58.00,PAYSIM20260815000021,2026-08-15 11:32:45,2026-08-15 12:15:15,OK
22,SIM20260815000022,9,15,76,pending_payment,1.20,20.70,50,87.69,2026-08-15 13:00:05,2026-08-15 13:05:05,2026-08-15 13:17:13,728,33.50,40.20,,2026-08-15 13:00:05,2026-08-15 13:17:13,OK
23,SIM20260815000023,2,7,34,settled,1.20,42.79,50,97.46,2026-08-15 18:04:31,2026-08-15 18:20:31,2026-08-15 18:30:25,594,27.34,32.81,PAYSIM20260815000023,2026-08-15 18:04:31,2026-08-15 18:30:25,OK
24,SIM20260815000024,18,15,74,reserved,1.20,,,,2026-08-15 13:00:10,,,0,0.00,0.00,,2026-08-15 13:00:10,2026-08-15 13:00:10,OK
25,SIM20260815000025,16,3,14,settled,1.30,41.13,40,90.91,2026-08-15 18:02:06,2026-08-15 18:22:06,2026-08-15 21:27:35,11129,19.91,25.88,PAYSIM20260815000025,2026-08-15 18:02:06,2026-08-15 21:27:35,OK
26,SIM20260815000026,13,1,3,settled,1.20,31.52,60,85.07,2026-08-15 18:03:20,2026-08-15 18:14:20,2026-08-15 18:31:47,1047,32.13,38.56,PAYSIM20260815000026,2026-08-15 18:03:20,2026-08-15 18:31:47,OK
27,SIM20260815000027,5,44,239,settled,1.40,41.28,40,93.12,2026-08-15 08:21:38,2026-08-15 08:29:38,2026-08-15 08:37:08,450,20.74,29.04,PAYSIM20260815000027,2026-08-15 08:21:38,2026-08-15 08:37:08,OK
28,SIM20260815000028,19,8,39,pending_payment,1.60,35.69,60,91.27,2026-08-15 17:10:27,2026-08-15 17:27:27,2026-08-15 17:45:34,1087,33.35,53.36,,2026-08-15 17:10:27,2026-08-15 17:45:34,OK
29,SIM20260815000029,7,45,246,settled,1.50,46.32,50,82.54,2026-08-15 12:00:10,2026-08-15 12:10:10,2026-08-15 12:20:00,590,18.11,27.17,PAYSIM20260815000029,2026-08-15 12:00:10,2026-08-15 12:20:00,OK
30,SIM20260815000030,5,66,360,cancelled,1.10,,,,2026-08-15 00:00:00,,,0,0.00,0.00,,2026-08-15 00:00:00,2026-08-15 00:00:00,OK
31,SIM20260815000031,1,34,183,settled,1.40,43.52,70,86.10,2026-08-15 11:47:41,2026-08-15 11:49:41,2026-08-15 12:00:29,648,29.81,41.73,PAYSIM20260815000031,2026-08-15 11:47:41,2026-08-15 12:00:29,OK
32,SIM20260815000032,11,47,258,pending_payment,1.20,37.65,50,98.28,2026-08-15 18:03:21,2026-08-15 18:23:21,2026-08-15 23:05:50,16949,30.32,36.38,,2026-08-15 18:03:21,2026-08-15 23:05:50,OK
33,SIM20260815000033,8,47,257,settled,1.20,23.09,50,98.73,2026-08-15 21:36:18,2026-08-15 21:41:18,2026-08-15 21:55:00,822,37.82,45.38,PAYSIM20260815000033,2026-08-15 21:36:18,2026-08-15 21:55:00,OK
34,SIM20260815000034,6,41,225,cancelled,1.10,,,,2026-08-15 05:47:30,,,0,0.00,0.00,,2026-08-15 05:47:30,2026-08-15 05:47:30,OK
35,SIM20260815000035,7,48,266,reserved,1.30,,,,2026-08-15 08:53:48,,,0,0.00,0.00,,2026-08-15 08:53:48,2026-08-15 08:53:48,OK
36,SIM20260815000036,14,37,203,cancelled,1.20,,,,2026-08-15 08:24:33,,,0,0.00,0.00,,2026-08-15 08:24:33,2026-08-15 08:24:33,OK
37,SIM20260815000037,20,72,396,pending_payment,1.20,39.46,40,96.13,2026-08-15 15:57:19,2026-08-15 16:10:19,2026-08-15 16:18:31,492,22.67,27.20,,2026-08-15 15:57:19,2026-08-15 16:18:31,OK
38,SIM20260815000038,19,51,282,pending_payment,1.10,38.70,60,89.10,2026-08-15 21:28:32,2026-08-15 21:53:32,2026-08-15 22:04:29,657,30.24,33.26,,2026-08-15 21:28:32,2026-08-15 22:04:29,OK
39,SIM20260815000039,13,6,27,pending_payment,1.30,19.81,50,96.54,2026-08-15 18:10:04,2026-08-15 18:16:04,2026-08-15 18:29:58,834,38.37,49.88,,2026-08-15 18:10:04,2026-08-15 18:29:58,OK
40,SIM20260815000040,17,39,212,settled,1.40,34.20,50,88.30,2026-08-15 07:23:17,2026-08-15 07:29:17,2026-08-15 11:41:18,15121,27.05,37.87,PAYSIM20260815000040,2026-08-15 07:23:17,2026-08-15 11:41:18,OK
41,SIM20260815000041,12,40,216,pending_payment,1.50,35.21,60,89.30,2026-08-15 18:20:38,2026-08-15 18:31:38,2026-08-15 18:43:23,705,32.45,48.68,,2026-08-15 18:20:38,2026-08-15 18:43:23,OK
42,SIM20260815000042,19,12,57,pending_payment,1.30,41.85,80,87.36,2026-08-15 08:33:20,2026-08-15 08:40:20,2026-08-15 08:53:31,791,36.41,47.33,,2026-08-15 08:33:20,2026-08-15 08:53:31,OK
43,SIM20260815000043,19,25,133,settled,1.50,26.97,40,95.36,2026-08-15 17:27:07,2026-08-15 17:46:07,2026-08-15 22:01:01,15294,27.36,41.04,PAYSIM20260815000043,2026-08-15 17:27:07,2026-08-15 22:01:01,OK
44,SIM20260815000044,12,68,371,pending_payment,1.30,26.97,70,85.14,2026-08-15 22:47:40,2026-08-15 23:06:40,2026-08-16 05:26:02,22762,40.72,52.94,,2026-08-15 22:47:40,2026-08-16 05:26:02,OK
45,SIM20260815000045,19,29,160,settled,1.40,34.40,70,98.13,2026-08-15 15:09:45,2026-08-15 15:19:45,2026-08-15 15:35:54,969,44.61,62.45,PAYSIM20260815000045,2026-08-15 15:09:45,2026-08-15 15:35:54,OK
46,SIM20260815000046,18,13,66,settled,1.50,53.34,70,91.23,2026-08-15 19:05:42,2026-08-15 19:19:42,2026-08-15 19:34:06,864,26.52,39.78,PAYSIM20260815000046,2026-08-15 19:05:42,2026-08-15 19:34:06,OK
47,SIM20260815000047,5,32,171,settled,1.20,37.13,60,94.90,2026-08-15 20:21:59,2026-08-15 20:39:59,2026-08-15 20:58:49,1130,34.66,41.59,PAYSIM20260815000047,2026-08-15 20:21:59,2026-08-15 20:58:49,OK
48,SIM20260815000048,9,12,57,settled,1.30,6.71,50,89.40,2026-08-15 06:30:49,2026-08-15 06:49:49,2026-08-15 07:04:47,898,41.35,53.76,PAYSIM20260815000048,2026-08-15 06:30:49,2026-08-15 07:04:47,OK
49,SIM20260815000049,1,60,90029,settled,1.50,25.34,50,85.32,2026-08-15 15:17:29,2026-08-15 15:25:29,2026-08-15 20:04:53,16764,29.99,44.99,PAYSIM20260815000049,2026-08-15 15:17:29,2026-08-15 20:04:53,ORPHAN_PILE
50,SIM20260815000050,13,63,347,pending_payment,1.30,10.47,80,93.78,2026-08-15 10:12:52,2026-08-15 10:14:52,2026-08-15 20:35:49,37257,66.65,86.65,,2026-08-15 10:12:52,2026-08-15 20:35:49,OK
51,SIM20260815000051,13,62,341,settled,1.20,30.78,80,99.25,2026-08-15 08:42:21,2026-08-15 09:05:21,2026-08-15 09:25:11,1190,54.78,65.74,PAYSIM20260815000051,2026-08-15 08:42:21,2026-08-15 09:25:11,OK
52,SIM20260815000052,6,70,387,settled,1.50,44.44,80,82.78,2026-08-15 09:41:50,2026-08-15 09:49:50,2026-08-15 10:00:56,666,30.67,46.01,PAYSIM20260815000052,2026-08-15 09:41:50,2026-08-15 10:00:56,OK
53,SIM20260815000053,19,22,116,settled,1.20,11.98,60,91.27,2026-08-15 19:54:12,2026-08-15 20:10:12,2026-08-15 20:27:26,1034,47.57,57.08,PAYSIM20260815000053,2026-08-15 19:54:12,2026-08-15 20:27:26,OK
54,SIM20260815000054,9,34,187,pending_payment,1.40,22.48,50,97.18,2026-08-15 11:45:02,2026-08-15 11:59:02,2026-08-15 12:12:33,811,37.35,52.29,,2026-08-15 11:45:02,2026-08-15 12:12:33,OK
55,SIM20260815000055,4,31,167,settled,1.10,28.10,50,81.40,2026-08-15 16:59:56,2026-08-15 17:23:56,2026-08-15 17:33:35,579,26.65,29.32,PAYSIM20260815000055,2026-08-15 16:59:56,2026-08-15 17:33:35,OK
56,SIM20260815000056,19,20,103,pending_payment,1.10,32.88,60,92.81,2026-08-15 12:07:35,2026-08-15 12:16:35,2026-08-15 12:36:07,1172,35.96,39.56,,2026-08-15 12:07:35,2026-08-15 12:36:07,OK
57,SIM20260815000057,2,12,57,settled,1.30,19.16,50,97.42,2026-08-15 11:14:19,2026-08-15 11:33:19,2026-08-15 11:47:29,850,39.13,50.87,PAYSIM20260815000057,2026-08-15 11:14:19,2026-08-15 11:47:29,OK
58,SIM20260815000058,5,50,278,pending_payment,1.50,24.24,50,85.97,2026-08-15 15:44:18,2026-08-15 15:57:18,2026-08-15 16:08:29,671,30.87,46.31,,2026-08-15 15:44:18,2026-08-15 16:08:29,OK
59,SIM20260815000059,14,3,14,settled,1.30,18.22,60,81.93,2026-08-15 19:21:36,2026-08-15 19:30:36,2026-08-16 01:26:46,21370,38.23,49.70,PAYSIM20260815000059,2026-08-15 19:21:36,2026-08-16 01:26:46,OK
60,SIM20260815000060,6,11,54,settled,1.40,26.69,60,94.05,2026-08-15 13:46:54,2026-08-15 13:59:54,2026-08-15 14:21:52,1318,40.42,56.59,PAYSIM20260815000060,2026-08-15 13:46:54,2026-08-15 14:21:52,OK
61,SIM20260815000061,5,41,226,pending_payment,1.10,25.28,60,91.24,2026-08-15 06:41:22,2026-08-15 07:01:22,2026-08-15 07:15:42,860,39.58,43.54,,2026-08-15 06:41:22,2026-08-15 07:15:42,OK
62,SIM20260815000062,9,14,68,settled,1.20,25.73,50,87.24,2026-08-15 09:23:47,2026-08-15 09:30:47,2026-08-15 09:47:30,1003,30.76,36.91,PAYSIM20260815000062,2026-08-15 09:23:47,2026-08-15 09:47:30,OK
63,SIM20260815000063,13,29,156,cancelled,1.40,,,,2026-08-15 22:08:59,,,0,0.00,0.00,,2026-08-15 22:08:59,2026-08-15 22:08:59,OK
64,SIM20260815000064,3,11,55,settled,1.40,25.73,50,90.33,2026-08-15 16:31:46,2026-08-15 16:55:46,2026-08-15 17:13:19,1053,32.30,45.22,PAYSIM20260815000064,2026-08-15 16:31:46,2026-08-15 17:13:19,OK
65,SIM20260815000065,13,21,110,settled,1.10,44.30,80,93.62,2026-08-15 04:36:34,2026-08-15 04:52:34,2026-08-15 11:00:12,22058,39.46,43.41,PAYSIM20260815000065,2026-08-15 04:36:34,2026-08-15 11:00:12,OK
66,SIM20260815000066,17,1,4,settled,1.20,45.00,70,98.07,2026-08-15 20:00:38,2026-08-15 20:17:38,2026-08-16 02:03:45,20767,37.15,44.58,PAYSIM20260815000066,2026-08-15 20:00:38,2026-08-16 02:03:45,OK
67,SIM20260815000067,1,11,54,settled,1.40,60.00,70,85.00,2026-08-15 16:37:07,2026-08-15 17:02:07,2026-08-15 17:11:37,570,17.50,24.50,PAYSIM20260815000067,2026-08-15 16:37:07,2026-08-15 17:11:37,OK
68,SIM20260815000068,3,38,209,settled,1.30,33.56,60,91.04,2026-08-15 19:36:27,2026-08-15 19:47:27,2026-08-15 20:06:11,1124,34.49,44.84,PAYSIM20260815000068,2026-08-15 19:36:27,2026-08-15 20:06:11,OK
69,SIM20260815000069,12,60,327,cancelled,1.50,,,,2026-08-15 00:52:33,,,0,0.00,0.00,,2026-08-15 00:52:33,2026-08-15 00:52:33,OK
70,SIM20260815000070,5,5,24,settled,1.40,37.06,70,85.62,2026-08-15 15:13:13,2026-08-15 15:36:13,2026-08-15 20:52:53,19000,33.99,47.59,PAYSIM20260815000070,2026-08-15 15:13:13,2026-08-15 20:52:53,OK
71,SIM20260815000071,5,21,108,pending_payment,1.10,18.32,60,92.66,2026-08-15 19:39:28,2026-08-15 19:42:28,2026-08-15 19:58:37,969,44.60,49.06,,2026-08-15 19:39:28,2026-08-15 19:58:37,OK
72,SIM20260815000072,19,4,17,settled,1.50,36.40,40,91.19,2026-08-15 21:01:51,2026-08-15 21:19:51,2026-08-15 21:31:45,714,21.92,32.88,PAYSIM20260815000072,2026-08-15 21:01:51,2026-08-15 21:31:45,OK
73,SIM20260815000073,13,11,53,settled,1.40,24.47,80,97.47,2026-08-15 20:01:45,2026-08-15 20:24:45,2026-08-16 05:28:50,32645,58.40,81.76,PAYSIM20260815000073,2026-08-15 20:01:45,2026-08-16 05:28:50,OK
74,SIM20260815000074,15,35,189,settled,1.50,33.97,40,85.48,2026-08-15 12:17:57,2026-08-15 12:36:57,2026-08-15 12:44:24,447,20.60,30.90,PAYSIM20260815000074,2026-08-15 12:17:57,2026-08-15 12:44:24,OK
75,SIM20260815000075,11,21,107,cancelled,1.10,,,,2026-08-15 01:35:24,,,0,0.00,0.00,,2026-08-15 01:35:24,2026-08-15 01:35:24,OK
76,SIM20260815000076,17,30,162,settled,1.50,5.00,70,91.53,2026-08-15 11:54:09,2026-08-15 12:01:09,2026-08-15 12:23:05,1316,60.57,90.86,PAYSIM20260815000076,2026-08-15 11:54:09,2026-08-15 12:23:05,OK
77,SIM20260815000077,19,24,125,settled,1.40,39.53,80,91.31,2026-08-15 16:26:02,2026-08-15 16:49:02,2026-08-15 17:04:02,900,41.42,57.99,PAYSIM20260815000077,2026-08-15 16:26:02,2026-08-15 17:04:02,OK
78,SIM20260815000078,10,53,291,settled,1.30,14.93,50,85.08,2026-08-15 08:18:55,2026-08-15 08:33:55,2026-08-15 14:00:44,19609,35.08,45.60,PAYSIM20260815000078,2026-08-15 08:18:55,2026-08-15 14:00:44,OK
79,SIM20260815000079,5,53,291,settled,1.30,5.00,80,100.00,2026-08-15 19:02:06,2026-08-15 19:19:06,2026-08-16 07:07:10,42484,76.00,98.80,PAYSIM20260815000079,2026-08-15 19:02:06,2026-08-16 07:07:10,OK
80,SIM20260815000080,2,51,279,settled,1.10,41.19,40,89.97,2026-08-15 16:56:11,2026-08-15 17:13:11,2026-08-15 17:20:15,424,19.51,21.46,PAYSIM20260815000080,2026-08-15 16:56:11,2026-08-15 17:20:15,OK
81,SIM20260815000081,19,20,104,settled,1.10,25.02,50,99.12,2026-08-15 12:25:36,2026-08-15 12:33:36,2026-08-15 12:47:01,805,37.05,40.76,PAYSIM20260815000081,2026-08-15 12:25:36,2026-08-15 12:47:01,OK
82,SIM20260815000082,1,28,149,settled,1.30,33.89,60,92.00,2026-08-15 10:36:25,2026-08-15 10:40:25,2026-08-15 10:53:03,758,34.87,45.33,PAYSIM20260815000082,2026-08-15 10:36:25,2026-08-15 10:53:03,OK
83,SIM20260815000083,3,51,279,settled,1.10,6.74,40,94.18,2026-08-15 19:17:57,2026-08-15 19:21:57,2026-08-15 19:34:37,760,34.98,38.48,PAYSIM20260815000083,2026-08-15 19:17:57,2026-08-15 19:34:37,OK
84,SIM20260815000084,14,38,211,pending_payment,1.30,33.14,50,105.00,2026-08-15 18:59:54,2026-08-15 19:10:54,2026-08-15 19:27:13,979,30.03,39.04,,2026-08-15 18:59:54,2026-08-15 19:27:13,SOC_RANGE
85,SIM20260815000085,8,60,327,settled,1.50,21.17,50,99.23,2026-08-15 11:34:19,2026-08-15 11:49:19,2026-08-15 12:10:31,1272,39.03,58.55,PAYSIM20260815000085,2026-08-15 11:34:19,2026-08-15 12:10:31,OK
86,SIM20260815000086,7,48,265,settled,1.30,39.17,60,94.96,2026-08-15 15:14:14,2026-08-15 15:34:14,2026-08-15 20:46:03,18709,33.47,43.51,PAYSIM20260815000086,2026-08-15 15:14:14,2026-08-15 20:46:03,OK
87,SIM20260815000087,5,12,60,settled,1.30,28.41,40,90.91,2026-08-15 22:04:28,2026-08-15 22:08:28,2026-08-15 22:17:31,543,25.00,32.50,PAYSIM20260815000087,2026-08-15 22:04:28,2026-08-15 22:17:31,OK
88,SIM20260815000088,2,32,174,settled,1.20,35.71,60,87.09,2026-08-15 10:22:14,2026-08-15 10:27:14,2026-08-15 10:43:59,1005,30.83,37.00,PAYSIM20260815000088,2026-08-15 10:22:14,2026-08-15 10:43:59,OK
89,SIM20260815000089,17,31,169,settled,1.10,11.96,60,98.69,2026-08-15 10:56:24,2026-08-15 11:15:24,2026-08-15 19:20:14,29090,52.04,57.24,PAYSIM20260815000089,2026-08-15 10:56:24,2026-08-15 19:20:14,OK
90,SIM20260815000090,4,21,107,settled,1.10,31.29,40,96.40,2026-08-15 12:37:14,2026-08-15 12:55:14,2026-08-15 13:04:40,566,26.04,28.64,PAYSIM20260815000090,2026-08-15 12:37:14,2026-08-15 13:04:40,OK
91,SIM20260815000091,15,27,143,pending_payment,1.20,31.64,70,100.00,2026-08-15 18:10:57,2026-08-15 18:14:57,2026-08-15 18:32:17,1040,47.85,57.42,,2026-08-15 18:10:57,2026-08-15 18:32:17,OK
92,SIM20260815000092,8,65,90021,settled,1.50,35.14,40,80.41,2026-08-15 18:01:44,2026-08-15 18:08:44,2026-08-15 20:57:27,10123,18.11,27.17,PAYSIM20260815000092,2026-08-15 18:01:44,2026-08-15 20:57:27,ORPHAN_PILE
93,SIM20260815000093,18,10,47,settled,1.50,17.40,50,90.49,2026-08-15 16:40:18,2026-08-15 17:04:18,2026-08-15 17:24:09,1191,36.55,54.83,PAYSIM20260815000093,2026-08-15 16:40:18,2026-08-15 17:24:09,OK
94,SIM20260815000094,5,20,104,settled,1.10,25.55,60,97.64,2026-08-15 15:46:53,2026-08-15 16:03:53,2026-08-15 16:19:33,940,43.25,47.58,PAYSIM20260815000094,2026-08-15 15:46:53,2026-08-15 16:19:33,OK
95,SIM20260815000095,19,65,357,settled,1.50,31.43,80,100.00,2026-08-15 16:15:13,2026-08-15 16:37:13,2026-08-15 16:57:05,1192,54.86,82.29,PAYSIM20260815000095,2026-08-15 16:15:13,2026-08-15 16:57:05,OK
96,SIM20260815000096,2,26,141,settled,1.10,10.16,80,98.10,2026-08-15 15:40:37,2026-08-15 15:43:37,2026-08-15 16:21:51,2294,70.35,77.39,PAYSIM20260815000096,2026-08-15 15:40:37,2026-08-15 16:21:51,OK
97,SIM20260815000097,14,8,40,settled,1.60,42.77,80,94.22,2026-08-15 20:16:59,2026-08-15 20:19:59,2026-08-15 20:42:21,1342,41.16,65.86,PAYSIM20260815000097,2026-08-15 20:16:59,2026-08-15 20:42:21,OK
98,SIM20260815000098,14,38,209,settled,1.30,40.21,40,95.49,2026-08-15 17:27:58,2026-08-15 17:47:58,2026-08-15 17:59:58,720,22.11,28.74,PAYSIM20260815000098,2026-08-15 17:27:58,2026-08-15 17:59:58,OK
99,SIM20260815000099,15,19,99,reserved,1.20,,,,2026-08-15 12:34:48,,,0,0.00,0.00,,2026-08-15 12:34:48,2026-08-15 12:34:48,OK
100,SIM20260815000100,7,33,179,settled,1.30,24.71,80,87.31,2026-08-15 15:45:25,2026-08-15 15:49:25,2026-08-15 16:07:33,1088,50.08,65.10,PAYSIM20260815000100,2026-08-15 15:45:25,2026-08-15 16:07:33,OK
101,SIM20260815000101,20,47,260,pending_payment,1.20,22.76,60,89.93,2026-08-15 07:14:43,2026-08-15 07:21:43,2026-08-15 07:36:19,876,40.30,48.36,,2026-08-15 07:14:43,2026-08-15 07:36:19,OK
102,SIM20260815000102,12,60,327,settled,1.50,34.55,40,86.68,2026-08-15 11:04:31,2026-08-15 11:20:31,2026-08-15 11:31:50,679,20.85,31.28,PAYSIM20260815000102,2026-08-15 11:04:31,2026-08-15 11:31:50,OK
103,SIM20260815000103,3,31,167,cancelled,1.10,43.34,70,90.83,2026-08-15 17:10:14,2026-08-15 17:24:14,2026-08-15 17:36:16,722,33.24,36.56,,2026-08-15 17:10:14,2026-08-15 17:36:16,OK
104,SIM20260815000104,15,37,204,settled,1.20,21.26,70,93.15,2026-08-15 11:57:27,2026-08-15 12:21:27,2026-08-15 20:10:16,28129,50.32,60.38,PAYSIM20260815000104,2026-08-15 11:57:27,2026-08-15 20:10:16,OK
105,SIM20260815000105,15,26,137,settled,1.10,22.17,40,90.82,2026-08-15 16:41:27,2026-08-15 16:45:27,2026-08-15 21:01:17,15350,27.46,30.21,PAYSIM20260815000105,2026-08-15 16:41:27,2026-08-15 21:01:17,OK
106,SIM20260815000106,2,42,230,settled,1.20,33.95,40,100.00,2026-08-15 14:46:58,2026-08-15 14:54:58,2026-08-15 15:09:19,861,26.42,31.70,PAYSIM20260815000106,2026-08-15 14:46:58,2026-08-15 15:09:19,OK
107,SIM20260815000107,6,25,134,cancelled,1.50,,,,2026-08-15 19:26:29,,,0,0.00,0.00,,2026-08-15 19:26:29,2026-08-15 19:26:29,OK
108,SIM20260815000108,5,38,207,settled,1.30,26.86,70,96.68,2026-08-15 09:33:29,2026-08-15 09:52:29,2026-08-15 17:27:47,27318,48.87,63.53,PAYSIM20260815000108,2026-08-15 09:33:29,2026-08-15 17:27:47,OK
109,SIM20260815000109,10,37,203,pending_payment,1.20,42.73,60,96.26,2026-08-15 11:42:41,2026-08-15 11:46:41,2026-08-15 11:58:19,698,32.12,38.54,,2026-08-15 11:42:41,2026-08-15 11:58:19,OK
110,SIM20260815000110,19,38,209,settled,1.30,16.84,40,94.31,2026-08-15 00:00:00,2026-08-15 00:10:00,2026-08-15 00:26:50,1010,30.99,40.29,PAYSIM20260815000110,2026-08-15 00:00:00,2026-08-15 00:26:50,OK
111,SIM20260815000111,16,3,12,pending_payment,1.30,18.04,40,93.18,2026-08-15 19:58:02,2026-08-15 20:08:02,2026-08-15 20:18:55,653,30.06,39.08,,2026-08-15 19:58:02,2026-08-15 20:18:55,OK
112,SIM20260815000112,7,18,94,reserved,1.30,,,,2026-08-15 22:05:40,,,0,0.00,0.00,,2026-08-15 22:05:40,2026-08-15 22:05:40,OK
113,SIM20260815000113,14,32,172,settled,1.20,18.89,70,86.54,2026-08-15 18:26:34,2026-08-15 18:48:34,2026-08-16 02:09:48,26474,47.36,56.83,PAYSIM20260815000113,2026-08-15 18:26:34,2026-08-16 02:09:48,OK
114,SIM20260815000114,17,40,221,settled,1.50,40.04,40,95.64,2026-08-15 03:39:07,2026-08-15 03:52:07,2026-08-15 04:00:10,483,22.24,33.36,PAYSIM20260815000114,2026-08-15 03:39:07,2026-08-15 04:00:10,OK
115,SIM20260815000115,5,11,52,settled,1.40,20.92,70,84.03,2026-08-15 14:50:22,2026-08-15 14:53:22,2026-08-15 21:44:58,24696,44.18,61.85,PAYSIM20260815000115,2026-08-15 14:50:22,2026-08-15 21:44:58,OK
116,SIM20260815000116,17,47,260,settled,1.20,25.59,70,90.99,2026-08-15 20:50:54,2026-08-15 21:13:54,2026-08-15 21:30:29,995,45.78,54.94,PAYSIM20260815000116,2026-08-15 20:50:54,2026-08-15 21:30:29,OK
